# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 1.2511344927948993,0.751131978891179,1.0000000000000147,1.9474734634901093e-12,-90.16742477985092,-103.28000000000002,0.3589730769193119,2.7857242347586273,-19.94256265404805,-87.84714302836197
 1.2586229818673507,0.7586204679636304,1.0,-1.9569961020527674e-12,-90.32182195117299,-103.44000000000001,0.37098328010128256,2.695539269928793,-20.617933715103213,-90.18789431632054
 1.2660749221086511,0.7660724082049307,0.9999999999999851,-1.9963912817664853e-12,-90.4806072130352,-103.60000000000001,0.38325276576467165,2.609244053346321,-21.307908641317287,-92.58997037980288
 1.2734903853989152,0.7734878714951948,1.0,2.0062116077776787e-12,-90.64384218556505,-103.76,0.39578669073324474,2.5266135102910456,-22.012781419089066,-95.05444908576654
 1.2808694476990676,0.7808669337953472,1.0,0.0,-90.81158928568968,-103.92000000000002,0.40859023663598604,2.4474397827839,-22.73284779302817,-97.58236814510077
 1.28821218918656,0.7882096752828397,1.0,0.0,-90.98391171577255,-104.08000000000001,0.4216686027236872,2.371530613236775,-23.468404869814666,-100.17472057806131
 1.2955186943940182,0.7955161804902978,1.0,0.0,-91.16087345044154,-104.24000000000001,0.4350269968184619,2.2987079131029264,-24.219750707680568,-102.83245088212111
 1.302789052350858,0.8027865384471375,0.9999999999999847,-2.107334718700245e-12,-91.3425392208215,-104.4,0.44867062765678106,2.228806474857919,-24.987183775323526,-105.55643507497031
 1.3100233567279096,0.810020842824189,0.9999999999999847,0.0,-91.52897449706728,-104.56000000000002,0.46260469361135853,2.1616728360307467,-25.771002508160727,-108.34749161558811
 1.3172217059850813,0.8172191920813607,1.0000000000000153,4.256830890655347e-12,-91.72024546801055,-104.72000000000001,0.4768343728215233,2.097164250309394,-26.57150467556237,-111.20635284598131
 1.3243842035221,0.8243816896183795,1.0,-2.1390691809164845e-12,-91.91641901840066,-104.88000000000001,0.49136481167797413,2.0351477684880908,-27.38898678515276,-114.13366711336342
 1.3315109578323516,0.8315084439286311,1.0,0.0,-92.11756270348512,-105.04,0.5062011116362727,1.9754994151781775,-28.223743422040194,-117.12998660367312
 1.3386020826598481,0.8385995687561276,1.0,0.0,-92.32374472043426,-105.20000000000002,0.5213483162855231,1.9181034420994219,-29.07606648661216,-120.19574965977199
 1.3456576971593472,0.8456551832556266,0.9999999999999842,-2.2344144440992983e-12,-92.53503387691492,-105.36000000000001,0.5368113964091047,1.8628516583092412,-29.946244440603223,-123.33127809815016
 1.3526779260596322,0.8526754121559117,1.0000000000000158,4.491354106427288e-12,-92.75149955628041,-105.52000000000001,0.5525952339473786,1.8096428245619394,-30.8345614423917,-126.53675747701304
 1.3596628998299718,0.8596603859262513,1.0,-2.2570116177989307e-12,-92.97321167925423,-105.68,0.568704605739523,1.7583821018991679,-31.741296426234126,-129.81222459169555
 1.3666127548497615,0.8666102409460409,0.999999999999984,-2.3003661959966975e-12,-93.2002406621325,-105.84000000000002,0.5851441644789477,1.7089805567666703,-32.66672214482,-133.15755738079758
 1.373527633581349,0.8735251196776285,1.0,2.3120017248562455e-12,-93.4326573708836,-106.00000000000001,0.6019184197812097,1.6613547071104557,-33.61110408045469,-136.57245084005493
 1.380407684746037,0.8804051708423162,0.9999999999999839,-2.339842171478274e-12,-93.6705330713582,-106.16000000000001,0.6190317173817486,1.6154261113301136,-34.57469934169787,-140.056409200688
 1.3872530635032494,0.8872505495995286,1.0,2.3516936648835162e-12,-93.91393937523964,-106.32000000000001,0.6364882167343879,1.571120994400606,-35.55775546020724,-143.6087254446798
 1.3940639316328434,0.8940614177291227,1.0000000000000162,2.3799104388904966e-12,-94.1629481814301,-106.48000000000002,0.6542918668106588,1.5283699075681518,-36.56050909405684,-147.22846115497694
 1.4008404577205342,0.9008379438168137,1.0000000000000164,3.27667306303685e-14,-94.41763161255493,-106.64000000000001,0.6724463825557332,1.4871074124889336,-37.583184633121725,-150.91442515399012
 1.4075828173463998,0.9075803034426791,0.9999999999999836,-4.874050533115232e-12,-94.67806194711285,-106.80000000000001,0.6909552155705633,1.4472718020866806,-38.625992828806986,-154.66516969589733
 1.4142911932764104,0.9142886793726898,1.0,2.4493708963066897e-12,-94.94431154549727,-106.96000000000001,0.7098215287567546,1.4088048326055849,-39.68912910698829,-158.47893577717602
 1.420965775656937,0.9209632617532163,1.0,0.0,-95.21645277174495,-107.12,0.7290481635664045,1.3716514902227255,-40.77277209757374,-162.3536768003699
 1.4276067622121564,0.9276042483084358,1.0,0.0,-95.49455790858305,-107.28000000000002,0.7486376107409923,1.3357597663443763,-41.87708174465685,-166.28698731744635
 1.434214358444286,0.9342118445405652,0.9999999999999832,-2.5371356061865627e-12,-95.77869906751887,-107.44000000000001,0.7685919753364451,1.301080458929145,-43.002197615251674,-170.27612327822604
 1.440788777836541,0.9407862639328203,1.0000000000000169,5.116764787742559e-12,-96.06894809215292,-107.60000000000001,0.7889129423673459,1.2675669852737244,-44.14823687335571,-174.3179419697682
 1.4473314140383757,0.9473277281550001,0.9998208704230472,-0.027378807478154406,-96.36537645552947,-107.76000000000002,0.8096017401216887,1.2351752107767124,-45.307175002855075,-177.13626338789246
 1.4538638296797028,0.9538364672715709,0.9963755330254044,-0.5274216441228938,-96.66805515084974,-107.92000000000002,0.8306591017207873,1.2038632911243703,-46.3348800718364,-157.32389446862197
 1.4604065699812656,0.960312719952119,0.9898379550539692,-0.9992109834886215,-96.97705457549209,-108.08000000000001,0.8520852240951697,1.1735915278450006,-47.22782968606135,-136.47945250274697
 1.4669600942654863,0.9667567336840108,0.9832898227610817,-0.9991772379105719,-97.29244440776253,-108.24000000000001,0.8738797275957818,1.144322231562918,-48.1252252364156,-136.93327611754944
 1.4735248838512296,0.973168764987102,0.9767306658260931,-0.9991419906638077,-97.61429347697494,-108.4,0.8960416108307381,1.1160195998854117,-49.02656284846969,-137.29878167177145
 1.4801014430781845,0.9795490796302961,0.9701599914197625,-0.9991051824485778,-97.94266962557568,-108.56000000000002,0.9185692066883188,1.0886496006166595,-49.93129952435222,-137.5699122687669
