# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.4404876230008202,0.4850733650422815,2.189711913986876,5.02622910349557,159.72813780185442,-135.30901336861376,0.9343058635191097,1.0703133085705467,-118.83184745832952,51.86479877663428
 0.4455270093141205,0.4962357900709607,2.2150365807873578,5.025347378835286,159.13101186783993,-135.43247879579081,0.920671263577923,1.0861640191894215,-118.49179580428462,67.47878271356291
 0.4505174746464758,0.5074149874045946,2.2401112099014857,5.0245072241176505,158.54174252732597,-135.5559442229679,0.9068971041226221,1.1026609253179283,-118.07903697747196,82.7094868561842
 0.45546106212576665,0.5186119477818283,2.2649463419305964,5.023706394020001,157.9603920556243,-135.67940965014495,0.893004762164884,1.119814856950741,-117.5968816445481,97.53146575106328
 0.460359694236614,0.5298276201940715,2.28955189090596,5.022942817215852,157.38701395783758,-135.80287507732203,0.8790148312105247,1.1376372326083077,-117.04861373791685,111.92265396235389
 0.46521518131022854,0.5410629123037717,2.313937188867101,5.022214577329344,156.8216532721849,-135.92634050449908,0.8649470902480816,1.156140082179111,-116.43748136513945,125.86427757132564
 0.470029229258483,0.5523186908933085,2.3381110264217697,5.021519896459228,156.26434688358663,-136.04980593167616,0.850820479415668,1.1753360717019723,-115.76668836469793,139.34073936358513
 0.4748034466354059,0.5635957823421515,2.3620816897347203,5.0208571207539485,155.71512384538474,-136.1732713588532,0.8366530818295386,1.1952385304232251,-115.03938652996176,152.33948882422416
 0.479539351098517,0.5748949731299664,2.385856994334803,5.020224707925032,155.1740057071756,-136.29673678603027,0.8224621111539075,1.2158614803507584,-114.25866852340714,164.85087751153026
 0.4842383753332347,0.5862170103634263,2.409444316079381,5.019621216317253,154.64100684693645,-136.42020221320735,0.808263904735721,1.237219668156493,-113.427561471421,176.86800715895077
 0.4889018724956983,0.5975626023244996,2.4328506195723403,5.019045295311069,154.11613480555732,-136.5436676403844,0.7940739214914857,1.259328600190936,-112.54902128038779,188.38656064906783
 0.4935311212226011,0.6089324190380941,2.456082484295753,5.018495676933724,153.5993906222637,-136.66713306756148,0.779906744603014,1.2822045801245343,-111.62592761338341,199.40463808734972
 0.49812733025080275,0.6203270928569804,2.47914612868351,5.0179711684655866,153.09076916933935,-136.79059849473853,0.7657760882392933,1.3058647499678984,-110.66107955568043,209.9225800617045
 0.5026916426844589,0.6317472190619988,2.5020474323381543,5.0174706459127405,152.59025948478927,-136.91406392191558,0.7516948079123148,1.3303271347281276,-109.65719192653371,219.94279395606162
 0.5072251399430626,0.6431933564756482,2.5247919565687935,5.016993048242012,152.09784510173736,-137.03752934909267,0.7376749143886634,1.3556106904200944,-108.61689220554742,229.46958201242754
 0.5117288454199949,0.6546660280872021,2.5473849634076466,5.016537372297856,151.61350437332337,-137.16099477626972,0.7237275903865573,1.3817353563457213,-107.54271807842849,238.50896392332973
 0.5162037278779121,0.6661657216876335,2.569831433244778,5.016102668220376,151.13721079224257,-137.2844602034468,0.7098632098293247,1.408722111743802,-106.43711551307979,247.0685153735342
 0.5206507046044081,0.6776928905126662,2.592136081205808,5.015688035454362,150.66893330390926,-137.40792563062385,0.6960913593802874,1.4365930369977222,-105.3024373937512,255.1571976007746
 0.5250706443488858,0.689247953892385,2.6143033723832207,5.0152926191151455,150.20863661253492,-137.53139105780093,0.6824208616268873,1.4653713803766284,-104.14094263376239,262.7852023186481
 0.5294643700593762,0.7008312979059299,2.6363375360206907,5.014915606784851,149.75628147948498,-137.65485648497798,0.6688598001121389,1.4950816297112537,-102.9547957374524,269.9638016724549
 0.5338326614360964,0.7124432760398647,2.658242578738689,5.014556225515543,149.31182501327487,-137.77832191215504,0.6554155453948903,1.5257495905097829,-101.74606679827168,276.70520002909007
 0.5381762573168384,0.7240842098488994,2.680022296882344,5.014213739408665,148.8752209507593,-137.90178733933212,0.6420947819953268,1.5574024708509127,-100.51673187446336,283.02239839087827
 0.5424958579077905,0.7357543896177741,2.70168028806159,5.013887447050296,148.44641992924616,-138.02525276650917,0.6289035362763535,1.5900689729316115,-99.26867368509212,288.9290718186816
 0.5467921268720375,0.7474540750231158,2.723219961949574,5.013576679494343,148.02536974902998,-138.14871819368625,0.6158472045971438,1.6237793929001425,-98.0036826651488,294.439438142824
 0.5510656932868309,0.7591834957942388,2.74464455039718,5.013280798314619,147.6120156263177,-138.2721836208633,0.602930581848707,1.6585657289663398,-96.72345825290125,299.56815642689867
 0.5553171534796639,0.7709428523718916,2.7659571169162636,5.012999193785578,147.2063004363042,-138.39564904804035,0.5901578899708014,1.6944617991118882,-95.4296104424199,304.3302187475384
 0.5595470727522591,0.7827323165640551,2.7871605655798244,5.012731283297474,146.80816494634746,-138.51911447521744,0.5775328064481423,1.731503368873629,-94.1236615403478,308.7408571915541
 0.5637559870007376,0.7945520321979398,2.808257649382518,5.012476509902871,146.41754803914944,-138.6425799023945,0.5650584924465527,1.7697282907301624,-92.8070481215462,312.81545336247774
 0.5679444042395155,0.806402115767446,2.829250978100678,5.0122343408855,146.034386926083,-138.76604532957157,0.552737620694632,1.8091766555409927,-91.48112311233272,316.56946613092157
 0.572112806035796,0.8182826570753812,2.8501430256882823,5.012004266538555,145.65861735064755,-138.88951075674862,0.5405724028351111,1.849890957724356,-90.14715802366818,320.018355681279
 0.5762616488609309,0.8301937198697976,2.870936137241841,5.011785799063707,145.29017378213632,-139.0129761839257,0.5285646160420588,1.8919162759855046,-88.8063452968342,323.177518008378
 0.5803927631691441,0.8421353424739165,2.8906541221523008,4.773042680338758,144.92898959982716,-139.13644161110275,0.5167156291942973,1.9353004699301952,-87.43020777494799,333.1153338338418
 0.5845211065950685,0.8541075384090973,2.9000000000000026,2.263832458562758,144.57499726765505,-139.2599070382798,0.5050264281447909,1.9800943956012145,-85.74682279318687,407.7628259291866
 0.5886599888713879,0.8661102970104235,2.8999999999999866,-3.862688157639308e-12,144.22812849973593,-139.3833724654569,0.4934976401448529,2.026352141636335,-83.80735299085926,468.59747942682003
 0.5928093981900364,0.8781435840345041,2.8999999999999893,6.421480877110108e-13,143.8883144169148,-139.50683789263394,0.48212955758285025,2.07413128747693,-81.89456781087043,460.97770383661634
